SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q01010203,Q0119,Q01190100,Q0117,Q0120,Q012001,NHQ2,THQ01,THQ02,THQ03,THQ04,THQ05,THQ06,THQ07,THQ08,THQ09,THQ10,THQ11,THQ12,THQ13
1,1,35,1,2,4,9,4,1,2023,10,5, , , , ,400,0,100,0,0,0,0,300,0,0,0,0,0,0
98,1,42,1,2,5,6,5,1,2023,7,1, ,2000,1, ,100,0,0,0,100,0,0,0,0,0,0,0,0,0
98,1,49,1,2,2,9,7,1,2024,2,4,1,1600,1,5,500,100,0,100,100,0,100,0,0,0,100,0,0,0
3,2,59,1,2,6,10,5,1,2024,3,1, ,2000,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,46,12,2,3,4,4,1,2024,4,5, , , , ,1100,0,0,200,0,100,0,200,400,0,100,0,0,100
98,1,63,9,2,6,99,99,1,2024,2,1, ,3000,3, ,100,0,0,0,0,0,0,0,0,0,0,100,0,0
4,1,57,3,2,6,4,4,1,2023,8,4,1,1600,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,33,8,1,1,3,3,1,2024,5,1, ,1600,1, ,100,0,100,0,0,0,0,0,0,0,0,0,0,0
3,1,54,8,2,6,9,9,1,2024,6,4,1,1600,1, ,400,200,0,0,0,0,100,100,0,0,0,0,0,0
3,1,55,3,2,6,6,4,1,2023,12,4,1,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,44,8,2,5,6,4,1,2024,6,3, ,2200,1,7,100,0,0,0,0,0,0,100,0,0,0,0,0,0
98,1,43,1,2,4,6,5,1,2023,8,5, , , , ,100,0,0,0,0,100,0,0,0,0,0,0,0,0
98,1,48,4,2,5,9,5,1,2024,5,4,1,2000, , ,300,0,0,0,0,0,100,100,0,0,0,100,0,0
98,1,48,8,2,4,3,3,1,2024,6,4,1,1600,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,53,12,2,6,5,4,1,2023,7,1, ,2000,1, ,200,0,0,100,0,0,0,0,0,0,0,100,0,0
5,1,41,9,97,5,4,4,1,2023,8,4,1,1600,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,35,15,2,4,7,3,1,2023,10,1, ,1300,1, ,100,0,0,0,0,0,0,0,100,0,0,0,0,0
5,2,24,10,1,1,99,99,1,2023,9,1, ,1000, ,5,100,0,0,100,0,0,0,0,0,0,0,0,0,0
2,2,71,1,2,7,9,2,1,2024,2,4,1,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,65,8,2,7,4,4,1,2024,3,1, ,2000, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,54,14,2,6,6,5,1,2023,8,3, ,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,35,14,2,4,5,3,1,2023,9,4,1,1600,1,7,700,0,0,0,0,100,0,0,0,600,0,0,0,0
5,1,58,4,2,6,8,4,1,2023,9,4,1,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,39,1,1,6,8,5,1,2023,10,1, ,1600,1, ,100,0,0,0,0,0,0,0,0,0,0,0,100,0
5,1,50,1,97,5,5,5,1,2023,11,2, ,3500,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,39,8,2,3,5,4,1,2023,12,1, ,1500,1, ,200,0,0,0,200,0,0,0,0,0,0,0,0,0
2,2,54,1,2,6,5,5,1,2023,9,1, ,3500,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,59,1,2,6,4,3,1,2024,5,3, ,2200,1,9,300,100,0,0,100,0,0,0,0,0,0,0,0,100
98,2,36,8,1,6,6,2,1,2024,1,1, ,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,47,8,2,3,5,2,1,2023,12,1, ,2500,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,25,8,1,6,11,3,1,2024,2,4,1,1600,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,48,7,1,6,7,4,1,2024,6,1, ,1600, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,62,8,2,6,3,3,1,2023,11,1, ,1300, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,48,8,2,5,8,6,1,2023,12,1, ,2500,1, ,200,0,0,0,0,0,0,100,0,0,0,100,0,0
98,1,37,15,2,4,3,3,1,2024,1,1, ,1500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,50,15,2,5,7,5,1,2023,7,5, , , ,7,100,0,0,100,0,0,0,0,0,0,0,0,0,0
98,1,55,8,2,5,7,7,1,2024,3,4,1,1600,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,56,2,97,1,11,11,1,2024,2,1, ,2500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,43,1,1,1,5,5,1,2024,2,5, , , , ,100,0,0,0,0,100,0,0,0,0,0,0,0,0
98,1,64,15,2,7,5,5,1,2023,12,5, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,44,5,2,4,12,11,1,2024,2,5, , , , ,100,0,0,0,0,100,0,0,0,0,0,0,0,0
98,1,36,15,2,4,9,6,1,2024,4,1, ,3000,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,48,2,2,5,8,4,1,2023,9,1, ,3500,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,40,16,1,7,2,2,1,2023,8,1, ,1000,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,53,3,2,6,3,3,1,2024,3,1, ,2000,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,51,6,2,5,7,7,1,2024,4,1, ,2500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,55,8,2,6,5,5,1,2024,6,1, ,1600, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,33,4,2,4,5,4,1,2023,9,4,1,1600,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,55,14,1,1,2,2,1,2023,12,5, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,43,1,2,3,8,1,1,2024,2,5, , , , ,1200,0,0,100,100,500,200,100,0,0,100,100,0,0
5,1,46,8,2,4,4,4,1,2023,9,1, ,2500,1, ,100,0,0,100,0,0,0,0,0,0,0,0,0,0
98,1,65,8,2,6,9,6,1,2023,10,1, ,2500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,46,8,2,5,8,6,1,2023,8,1, ,1000, ,5,700,0,100,100,100,100,0,100,100,0,100,0,0,0
1,1,43,1,2,3,10,5,1,2024,6,1, ,2500,3, ,500,200,200,0,0,0,0,100,0,0,0,0,0,0
98,2,65,8,97,1,4,4,1,2024,4,1, ,1600, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,51,8,2,6,10,8,1,2023,8,4,1,1600,1, ,400,0,0,100,0,0,200,0,0,100,0,0,0,0
