SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q01190000,Q01190000_A,Q01190001,Q01190001_A,Q01190002,Q01190002_A,Q01190005,Q01230101,Q01230102,Q0124
4,1,38,4,2,3,7,4,1,2024,1, ,2000,3, , ,98,6.9, ,16.2, ,10,1, ,2
98,1,51,8,2,5,9,9,1,2024,5, , , , , , , , , , , ,1,3, 
98,1,46,8, , , , ,1,2024,5, , , , , , , , , , , ,1,3, 
5,1,41,1,2,5,5,5,1,2023,3, ,2000,3, ,15.8, ,10.2, ,21.2, ,9,1, ,1
98,2,46,15,1,1,6,6,1,2024,1, ,2000,1, ,11.3, ,10, ,11.8, ,4,4, , 
4,2,34,2,1,6,12,6,1,2023,1, ,2000,1, ,11.1, ,10.7, ,16.7, ,8,4, ,2
3,1,53,8,2,3,7,3,1,2024,1, ,1500,1, ,14.2, ,10.2, ,18.2, ,8,4,3,1
4,1,49,4,2,4,11,7,1,2023,5, , , , , , , , , , , ,1,3, 
2,1,43,12,2,5,9,9,1,2023,1, ,2000,3, ,10.8, ,8.3, ,13.6, ,6,1, ,2
98,2,24,5, , , , ,1,2023,4,1,1600,1, , ,98,11.2, ,15.4, ,8,1, , 
1,1,37,1,2,4,11,8,1,2024,5, , , , , , , , , , , ,1, , 
98,1,50,4, , , , ,1,2023,1, ,2000,1, ,15.6, ,12.1, ,22.2, ,6,3,4, 
98,2,36,4,2,4,11,10,1,2023,5, , , , , , , , , , , ,3, , 
98,1,64,8,2,7,8,5,1,2023,1, ,2000,1, ,10.1, ,6, ,10, ,1,4, ,2
3,1,48,1,2,5,13,13,1,2024,3, ,2200,3, ,11.4, ,8.4, ,14.8, ,6,1,4, 
98,1,31,1,2,2,8,3,1,2024,1, ,3000,1, ,10.9, ,5.8, ,10.8, ,7,1,4,1
98,1,41,1,2,3,5,5,1,2023,1, ,2000,1, ,11.6, ,6.9, ,12.1, ,7,4, ,2
4,2,36,4,2,4,11,5,1,2024,1, ,2000,1, ,8, ,7.1, ,10, ,6,4, , 
5,1,53,7,2,6,7,7,1,2023,1, ,2000,3, ,11.8, ,10.1, ,14, ,8,4, , 
98,1,47,3,2,5,5,4,1,2023,5, , , , , , , , , , , ,1, , 
98,1,51,1,97,5,5,5,1,2023,1, ,2000,1, ,11.5, ,10.8, ,14.2, ,9,1, , 
1,2,31,8,1,1,5,5,1,2024,5, , , , , , , , , , , ,4, ,1
3,1,39,15,2,4,7,4,1,2024,1, ,2000,3, ,11.4, ,10, ,14.7, ,5,1,5, 
5,2,52,8,2,5,10,8,1,2023,3, ,2200,3, , ,98,15, ,15.3, ,8,2,1, 
98,2,49,12,2,6,3,99,1,2024,1, ,2000,3, ,11, ,8, ,14.5, ,5,1,4,1
98,1,37,1,1,1,13,13,1,2024,5, , , , , , , , , , , ,4, , 
98,1,41,4,2,5,11,8,1,2024,5, , , , , , , , , , , ,4,1, 
98,1,49,4, , , , ,1,2024,5, , , , , , , , , , , ,1,3, 
98,1,40,8,2,5,13,13,1,2023,1, ,3000,3, ,10, ,9, ,13.5, ,7,4,1,1
98,2,50,5,2,6,6,3,1,2024,1, ,2000,3, ,8, ,7, ,12, ,4,1, , 
98,1,47,8,2,5,7,4,1,2024,3, ,2000,1, ,15.6, ,15.1, ,22.2, ,10,3,1,1
98,1,48,8,97,1,6,6,1,2024,1, ,2000,3, ,11.1, ,13.1, ,16.7, ,9,1,4, 
5,1,38,9,2,5,11,6,1,2024,1, ,3000,3, ,9.7, ,8.4, ,12.6, ,8,4, ,2
98,1,41,1,2,3,13,13,1,2024,5, , , , , , , , , , , ,3, , 
98,2,56,8,2,6,13,98,1,2023,4,2,3000,3, , ,98,10.5, ,13.3, ,6,4, ,1
98,1,56,8,2,6,7,7,1,2024,1, ,2000,1, ,12, ,8.8, ,18, ,8,4,1, 
3,2,51,1,2,6,99,99,1,2024,3, ,3000,3, , , , , , , , ,3,5,2
1,1,55,12,2,6,13,13,1,2023,1, ,4300,3, ,8, ,6.1, ,9.1, ,3,1,3, 
3,1,63,2, , , , ,1,2023,1, ,2000,3, ,9.7, ,9.4, ,12.1, ,7,1, ,2
98,1,46,4,2,5,4,1,1,2023,5, , , , , , , , , , , ,3, , 
1,1,39,8,2,4,10,6,1,2023,1, ,3000,2, , ,98,9, ,14, ,8,4, , 
5,2,44,7,97,1,4,4,1,2023,1, ,2000,1, ,13, ,10, ,18.1, ,8,3, ,2
5,2,42,8,1,7,8,4,1,2023,3, ,2000,3, ,9, ,6, ,13.5, ,3,4,1,1
5,1,37,8,2,4,7,3,1,2023,1, ,2000,3, , ,98,7.8, ,20, ,9,1, , 
98,1,38,1,2,4,9,8,1,2023,1, ,3000,3, ,9.7, ,6.6, ,13.6, ,8,4, , 
98,1,29,6,1,1,3,3,1,2024,5, , , , , , , , , , , ,3,1,1
98,1,35,8,2,2,13,4,1,2024,1, ,2000,3, , , , , , , , ,4, , 
98,1,34,3,1,1,4,4,1,2024,5, , , , , , , , , , , ,1,5,1
3,2,42,8,2,4,10,4,1,2023,5, , , , , , , , , , , ,4,1,1
4,1,58,8,2,6,10,7,1,2024,5, , , , , , , , , , , ,1, , 
3,2,32,8,1,1,3,3,1,2024,5, , , , , , , , , , , ,4, , 
98,1,35,14,2,5,8,5,1,2024,1, ,2000,1, ,13.1, ,10.1, ,18.9, ,9,1,5, 
98,2,36,1,97,1,10,10,1,2023,1, ,1800,1, , , , , , , , ,5, , 
98,1,39,11,97,1,3,3,1,2024,1, ,2000,1, ,14.2, ,9.9, ,17, ,10,1,4, 
98,1,46,8,2,5,13,5,1,2022,1, ,2000,3, ,10.7, ,13.9, ,16.1, ,9,1, ,2
2,1,51,6,2,5,10,6,1,2024,1, ,2000,1, ,10.8, ,7.7, ,15.4, ,6,1,4,2
98,1,56,8,97,1,8,8,1,2023,5, , , , , , , , , , , ,3, ,1
5,2,58,1,2,6,10,4,1,2023,1, ,3000,3, ,8.1, ,6, ,8.5, ,5,1,4,2
98,2,51,11, , , , ,1,2024,1, ,2000,3, ,10, ,8, ,12, ,5,4, , 
4,2,41,1, , , , ,1,2023,5, , , , , , , , , , , ,4,1, 
98,1,68,15, , , , ,1,2017,1, ,2000,1,5, , , , , , , , , , 
5,1,67,1,2,6,10,10,1,2023,3, ,3000,3, , , , , , , , ,1, ,1
5,2,42,8,1,6,7,4,1,2023,1, ,2000,3, , ,98,9.7, ,10.4, ,10,4, ,2
98,2,56,1,97,7,10,6,1,2024,1, ,2000,3, ,7.7, ,6.9, ,10, ,7,1,4, 
98,1,37,14,2,3,10,6,1,2023,4,2,3000,3, ,10, ,9.2, ,9.9, ,10,4,5, 
2,1,43,15,2,5,13,13,1,2024,5, , , , , , , , , , , ,1,3, 
5,2,25,11, , , , ,1,2023,1, ,2000,3, ,10.3, ,7.5, ,14, ,5,1, , 
98,2,35,8,1,1,4,4,1,2024,1, ,2000,3, ,10.3, ,10, ,12.1, ,7,1, ,2
3,1,55,2,2,5,6,2,1,2023,1, ,2000,1, , , , , , , , ,4,1, 
3,1,35,8,2,4,13,5,1,2023,5, , , , , , , , , , , ,1,4,1
98,1,42,8, , , , ,1,2024,5, , , , , , , , , , , ,3, , 
98,1,42,1,2,5,7,5,1,2024,5, , , , , , , , , , , ,3, , 
98,1,49,7,2,5,8,5,1,2023,1, ,3000,3, ,9.3, ,7, ,10.5, ,5,4,1, 
98,2,47,1,2,5,10,6,1,2023,1, ,2000,1, , ,98,4, ,10.3, ,4,5,4,1
2,1,65,8,2,7,8,5,1,2023,5, , , , , , , , , , , ,1,3, 
5,1,45,1,2,4,8,7,1,2023,1, ,2000,3, ,10.8, ,9.6, ,12.4, ,6,1, ,1
3,2,39,8,2,4,99,99,1,2024,1, ,2000,1, ,11, ,8.3, ,10, ,4,3,5,2
98,2,30,12,2,4,7,3,1,2023,1, ,2500,1, , ,98,8.9, ,10.8, ,5,98, ,1
4,1,46,1,2,5,11,11,1,2023,1, ,3000,3, ,10, ,7.1, ,12.3, ,5,5,4, 
4,2,41,11, , , , ,1,2023,1, ,3000,1, , ,98,11.1, ,15.4, ,6,1, , 
5,2,38,8,2,4,11,6,1,2024,1, ,2000,3, ,14.2, ,13.4, ,18.2, ,8,4, ,1
98,1,32,4,1,1,11,11,1,2024,5, , , , , , , , , , , ,4, ,1
98,2,59,13,97,1,3,3,1,2017,3, ,2000,1, , , , , , , , , , , 
98,1,31,1,1,1,6,6,1,2023,5, , , , , , , , , , , ,3,1,1
5,2,56,2,2,6,12,1,1,2024,1, ,2000,3, ,12, ,10.2, ,13, ,9,4,1,1
98,1,53,8,1,1,6,6,1,2024,1, ,2000,1, ,11.4, ,9, ,15.3, ,6,1,3, 
98,1,59,1,2,6,7,5,1,2023,1, ,2000,1, ,11.4, ,8.5, ,17.1, ,9,5, , 
98,1,34,3,2,4,8,4,1,2024,5, , , , , , , , , , , ,4,5, 
5,1,37,1,1,1,7,7,1,2023,1, ,2000,3, ,9.6, ,8.3, ,10.3, ,7,4, , 
5,1,44,8,2,3,8,5,1,2023,1, ,2000,3, ,10.6, ,11.4, ,14.7, ,5,1, , 
98,1,71,12,2,7,6,5,1,2024,1, ,2000,3, ,13.3, ,12, ,20, ,9,4, ,1
98,2,45,1,2,5,11,3,1,2023,1, ,2000,1, , ,98,9.8, ,10.1, ,7,5,3, 
5,1,57,1,2,6,7,5,1,2024,1, ,2000,1, ,10.1, ,8, ,8.9, ,2,3, , 
98,1,23,9,1,1,99,99,1,2024,1, ,2000,1, ,14.1, ,12.5, ,17.3, ,5,1,5,1
98,1,53,8,1,1,3,3,1,2023,3, ,2000,1, ,15.6, ,14, ,17, ,9,1,4,1
5,1,61,10,2,6,99,99,1,2023,1, ,2000,1, ,11.1, ,7.6, ,16.7, ,6,4,1,2
98,2,42,12,2,5,10,99,1,2024,1, ,3000,3, , ,98,3.3, ,5.3, ,4,3, , 
3,1,55,1,2,6,10,5,1,2013,3, ,2400,1, , , , , , , , , , , 
98,1,39,8, , , , ,1,2023,1, ,2000,3, ,12.4, ,10.4, ,15, ,6,1,4,1
98,1,41,15,2,5,6,6,1,2023,1, ,2000,1, ,11, ,11, ,15, ,10,1,4, 
98,1,41,5,2,4,5,5,1,2023,1, ,2000,1, ,12.7, ,9, ,16.2, ,7,1,4, 
2,2,42,1,2,5,4,4,1,2024,1, ,4000,3, ,11.3, ,8.9, ,12.7, ,8,5,1,1
98,1,33,13,1,1,4,4,1,2024,5, , , , , , , , , , , ,1, , 
4,1,43,8,97,5,5,5,1,2023,3, ,3000,3, ,10, ,11.8, ,15, ,7,1,4, 
98,1,46,10,1,1,6,6,1,2024,1, ,2000,3, , , , , , , , ,1,5,1
5,1,35,12,1,1,5,5,1,2023,1, ,2000,1, , , , , , , , ,1,4, 
98,2,35,4,2,2,12,10,1,2023,3, ,3000,3, ,13, ,13, ,19.5, ,10,4,1, 
98,1,40,8,2,5,6,6,1,2024,5, , , , , , , , , , , ,3, , 
98,1,42,11, , , , ,1,2023,3, ,2200,3, ,13.5, ,12.3, ,20.3, ,10,5,1, 
98,2,35,11,97,6,12,3,1,2024,1, ,2000,1, , ,98,10.8, ,12.8, ,10,4, ,1
4,1,42,16,2,4,11,11,1,2023,5, , , , , , , , , , , ,1,3, 
98,1,49,8,2,5,6,3,1,2023,5, , , , , , , , , , , ,3,1, 
5,2,32,5,2,2,13,5,1,2020,1, ,1600, , , , , , , , , , , , 
5,1,29,8,2,2,8,5,1,2023,1, ,2000,1, ,11.9, ,7.7, ,15.2, ,4,1, , 
4,1,43,1,2,5,13,13,1,2024,5, , , , , , , , , , , ,1,3, 
98,1,49,4,2,5,6,6,1,2024,5, , , , , , , , , , , ,1, , 
4,1,41,6,2,4,5,5,1,2024,5, , , , , , , , , , , ,4, , 
1,1,40,10,2,3,7,4,1,2023,5, , , , , , , , , , , ,1,4, 
98,1,41,8,2,4,5,5,1,2024,5, , , , , , , , , , , ,2,3,1
98,1,36,8,2,2,4,4,1,2023,1, ,2000,1, ,8.9, ,7.3, ,10, ,5,1, , 
5,1,39,8,1,1,6,6,1,2024,5, , , , , , , , , , , ,1,3, 
98,1,39,2,1,6,99,4,1,2013,1, ,1000, ,5, , , , , , , , , , 
5,1,50,8,2,5,99,7,1,2023,1, ,2000,1, ,10.5, ,8.2, ,15.8, ,5,4,3, 
4,1,51,8,2,6,7,6,1,2023,1, ,2000,3, ,10.4, ,9.6, ,13.6, ,7,4, , 
98,2,22,8, , , , ,1,2023,3, ,2000,3, ,14.7, ,16.5, ,18.4, ,9,4, ,1
98,1,39,1,2,4,11,5,1,2023,1, ,2000,3, ,10.9, ,7, ,12.9, ,3,1, ,2
5,2,55,1,2,6,11,3,1,2024,5, , , , , , , , , , , ,3,4,1
98,2,50,12,2,6,8,4,1,2023,1, ,2000,1, ,10.8, ,6.2, ,15, ,8,1, ,2
98,1,41,1,2,4,10,5,1,2023,1, ,2000,3, ,9.2, ,9.6, ,12.6, ,5,1, , 
98,1,43,3, , , , ,1,2024,1, ,2000,1, , , , , , , , ,1,3, 
98,2,39,2,2,5,10,5,1,2024,5, , , , , , , , , , , ,3,1, 
98,2,57,1,2,6,99,99,1,2024,1, ,2000,3, ,13.3, ,13.5, ,20, ,6,1, ,1
5,2,49,10,2,5,13,6,1,2024,1, ,3000,3, ,9.3, ,8, ,9.9, ,8,4, ,1
98,1,40,8,2,4,6,6,1,2024,1, ,3000,3, ,12.5, ,8, ,14.9, ,10,4,1, 
98,2,48,4,2,6,11,4,1,2024,1, ,1800,3, , , , , , , , ,4,1, 
5,2,46,11,2,6,9,4,1,2024,1, ,2000,1, , ,98,9.3, ,12.5, ,6,1,3, 
98,1,51,9,2,6,8,6,1,2024,1, ,3000,3, ,9.9, ,10.6, ,14.5, ,10,3, ,2
5,2,44,2,2,5,10,5,1,2023,1, ,2000,1, ,10, ,12.2, ,12.3, ,9,5,3, 
98,1,41,1,2,3,11,7,1,2024,1, ,2000,3, ,9.2, ,7.8, ,13, ,8,1, ,1
1,1,37,15,1,1,3,3,1,2023,5, , , , , , , , , , , ,4,1,1
4,1,57,16,2,5,4,2,1,2023,5, , , , , , , , , , , ,1,3, 
98,1,25,10,1,6,99,4,1,2024,1, ,2000,3, ,10.5, ,10.9, ,15.8, ,8,4, , 
98,1,61,8,2,6,5,5,1,2021,1, ,2000,1, ,12, ,8, ,15, ,7,4,1, 
4,1,44,8,2,5,6,5,1,2024,5, , , , , , , , , , , ,3, ,1
1,1,46,11,1,4,10,7,1,2024,4,2,2000,3, , , , , , , , ,1, , 
98,2,55,1,2,6,11,3,1,2024,4,2,2000,3, , ,98,20.4, ,10, ,8,1,4,1
4,1,41,1,2,4,5,1,1,2023,5, , , , , , , , , , , ,3, ,1
98,1,48,11,2,5,5,5,1,2023,1, ,1500,1, ,14.7, ,15.4, ,20, ,10,4, ,1
3,1,48,11,2,5,6,6,1,2023,1, ,3000,3, , ,98,9.4, ,14.3, ,8,1,5,1
98,1,45,7,2,5,13,5,1,2024,1, ,2200,1, , ,98,10.9, ,16.4, ,7,4,1, 
98,2,39,1,1,1,10,10,1,2023,1, ,2000,3, ,10.3, ,10.3, ,11.2, ,7,4,1, 
98,1,35,11,1,1,5,5,1,2023,5, , , , , , , , , , , ,3,1, 
3,1,48,1,2,5,11,9,1,2023,1, ,2000,3, , ,98,10.3, ,11.3, ,7,1,5, 
98,1,51,9,2,6,13,12,1,2023,3, ,2200,3, , ,98,9, ,10.5, ,9,1, ,1
2,2,45,1,2,5,11,5,1,2023,1, ,2000,3, , , , , , , , ,4, , 
98,2,67,8,2,6,10,5,1,2023,1, ,1500,1, , , , , , , , ,98, , 
98,1,52,8,2,6,9,7,1,2023,1, ,2000,3, ,9.9, ,10.5, ,12, ,6,1, ,1
4,1,69,3,2,4,4,3,1,2023,5, , , , , , , , , , , ,3,1, 
98,1,48,8,2,5,10,10,1,2024,4,2,2000,3, ,11, ,16.5, ,16.5, ,9,4, ,2
98,2,35,10,2,4,5,1,1,2024,1, ,2400,3, , ,98,17.3, ,24.5, ,8,1, ,2
3,2,46,3,2,6,8,3,1,2023,5, , , , , , , , , , , ,4, ,1
1,1,34,3,2,2,6,3,1,2024,1, ,2000,3, ,9.7, ,9.6, ,13.1, ,7,3,4, 
98,1,50,17,1,1,5,5,1,2023,1, ,2000,1, ,10, ,10, ,12, ,6,1, , 
4,1,27,14,1,1,10,10,1,2023,1, ,2000,1, ,11.3, ,7.9, ,16.2, ,10,1,4, 
5,1,41,13,97,1,4,4,1,2023,1, ,2000,1, ,13, ,12, ,19.5, ,10,5, , 
3,1,41,6, , , , ,1,2024,4,2,3200,3, , ,98,6.9, ,9.9, ,10,1, , 
3,1,51,1,2,5,11,10,1,2023,4,2,2000,1, ,15, ,12.1, ,19, ,10,1,4, 
5,2,37,8,2,4,12,4,1,2024,1, ,2000,1, ,11.9, ,7.9, ,9.8, ,5,4,3, 
98,1,45,11,2,5,11,11,1,2023,1, ,2000,1, , ,98,8.4, ,15.5, ,6,1,4,1
5,1,62,8,2,6,12,5,1,2016,1, ,3000,1, , , , , , , , , , , 
3,1,44,15,2,5,11,7,1,2024,5, , , , , , , , , , , ,3,1, 
5,1,43,9,2,5,99,5,1,2023,5, , , , , , , , , , , ,3,1, 
98,1,41,4,2,4,10,10,1,2024,1, ,3000,3, ,8.9, ,5, ,11, ,4,4,1,2
3,1,45,14,2,5,4,4,1,2023,1, ,2000,3, , ,98,10, ,13.5, ,10,1,4,1
98,1,38,5,1,1,4,4,1,2023,1, ,3000,3, ,7.9, ,5, ,9.9, ,2,4,5, 
1,2,64,2,2,6,10,4,1,2016,1, ,1000, , , , , , , , , , , , 
2,2,45,8,2,5,13,6,1,2023,1, ,2000,2, ,12.7, ,12.3, ,14.5, ,4,97, ,1
5,1,38,15,2,4,8,4,1,2023,1, ,2000,3, ,9.4, ,7.8, ,9.7, ,6,1,3,2
98,2,47,11,2,6,99,99,1,2023,1, ,2000,3, , ,98,8.6, ,9.5, ,5,1, ,1
98,2,38,8,2,5,6,2,1,2024,5, , , , , , , , , , , ,3,1,1
98,1,45,8,2,4,8,7,1,2023,1, ,2000,3, ,9.4, ,9.1, ,12.6, ,7,1, ,1
5,1,68,2,2,7,4,3,1,2023,1, ,2000,3, ,9.9, ,8.7, ,11.5, ,9,1,4, 
98,1,48,2,2,3,6,3,1,2024,1, ,2000,3, ,10.3, ,11.1, ,13.3, ,7,98, ,2
98,1,40,1,2,4,10,6,1,2023,4,2,2500,1, , ,98,19.4, ,14.3, ,10,1,4, 
5,1,41,10,2,4,7,6,1,2024,5, , , , , , , , , , , ,1, ,2
2,2,43,8,2,5,9,5,1,2023,4,2,3000,3, ,9.8, ,8.4, ,10.9, ,5,5,1,2
98,2,55,9,2,7,11,3,1,2022,1, ,2500,1, , , , , , , , ,1,4,1
98,1,49,12, , , , ,1,2024,3, ,2200,3, ,15.4, ,16.3, ,19.4, ,7,3,1, 
98,2,33,4,1,6,10,6,1,2023,3, ,2000,1, , , , , , , , ,97, ,1
98,2,32,15,2,2,9,4,1,2024,1, ,2000,3, ,7.7, ,8.5, ,10.6, ,10,4,3,2
4,2,52,1,2,6,11,3,1,2022,1, ,3000,3, , , , , , , , ,3,1, 
4,1,52,16,1,1,5,5,1,2023,1, ,2000,3, , , , , , , , ,4, , 
98,1,32,8, , , , ,1,2023,5, , , , , , , , , , , ,1,3,1
98,1,48,4,2,5,10,5,1,2024,1, ,2000,1, , ,98,6.4, ,17.4, ,10,1,4,1
98,1,33,2,2,4,9,6,1,2023,1, ,2000,1, ,10.4, ,10.1, ,12.5, ,7,4, , 
98,1,51,8,2,5,11,11,1,2023,1, ,3000,3, , ,98,9.6, ,12.1, ,7,1,5, 
4,2,46,1,2,5,12,2,1,2023,3, ,2000,3, , , , , , , , ,4, , 
3,1,52,8, , , , ,1,2024,5, , , , , , , , , , , ,1, ,1
98,1,67,11,2,7,11,10,1,2024,1, ,2000,3, , , , , , , , ,4,5, 
5,2,28,8,1,1,13,13,1,2024,5, , , , , , , , , , , ,3,1, 
98,2,38,8,1,1,5,5,1,2024,1, ,2000,3, ,9.8, ,9.2, ,11, ,5,4, , 
98,1,34,4,1,1,8,8,1,2024,1, ,2000,3, ,11.4, ,9.7, ,14.4, ,9,1, , 
5,1,41,1,1,6,5,3,1,2024,1, ,2000,3, ,11.8, ,6.5, ,16.5, ,8,5,3,1
4,1,39,8,2,4,10,6,1,2024,1, ,2000,1, ,10.7, ,11.7, ,16.1, ,8,4,3, 
98,2,53,1,1,1,99,99,1,2023,1, ,2400,3, ,9.5, ,7.5, ,8.6, ,4,1, ,1
98,2,68,1,1,1,10,10,1,2023,4,2,3000,1, , , , , , , , ,3, , 
1,1,43,4,2,5,10,5,1,2023,5, , , , , , , , , , , ,1,3, 
5,2,44,5,2,5,10,4,1,2023,1, ,2000,3, , ,98,8.5, ,8.5, ,5,1,4,1
98,1,49,1,1,1,11,11,1,2024,1, ,2400,3, , ,98,11.3, ,14.2, ,8,4,5,1
3,1,53,4,2,6,11,8,1,2023,1, ,2000,3, ,9.5, ,9.9, ,14.3, ,7,1, ,1
98,1,57,5,2,6,10,5,1,2024,1, ,2000,3, ,10.8, ,10, ,12, ,5,1,5,2
98,1,34,8,2,2,10,6,1,2023,5, , , , , , , , , , , ,1, , 
98,2,48,10,2,6,5,2,1,2024,1, ,2000,3, , ,98,3.5, ,3.5, ,7,4, , 
4,1,58,17,2,6,8,5,1,2024,1, ,2000,1, , , , , , , , ,1, , 
98,2,42,1,2,5,4,98,1,2024,5, , , , , , , , , , , ,4,1,1
4,1,42,8,2,5,11,10,1,2024,5, , , , , , , , , , , ,4, , 
5,1,30,1,1,1,11,11,1,2024,1, ,2000,1, ,9.9, ,8.9, ,11.7, ,10,1, ,1
1,1,42,8,2,5,11,11,1,2024,1, ,2000,3, ,10.4, ,7.4, ,13.4, ,6,1,5,1
98,1,35,8,2,2,11,6,1,2024,1, ,2000,3, ,10, ,9.4, ,14, ,5,1, ,2
98,1,63,2,97,1,5,5,1,2023,1, ,2000,3, ,12, ,10.4, ,13.7, ,7,1, ,1
98,1,52,8,2,6,7,5,1,2024,5, , , , , , , , , , , ,1, , 
98,1,46,8,2,5,8,8,1,2024,3, ,2000,3, , ,98,16, ,17.9, ,10,1,4, 
98,1,37,2,1,1,5,5,1,2024,5, , , , , , , , , , , ,1,3, 
98,2,54,9,2,6,10,10,1,2024,5, , , , , , , , , , , ,3, ,1
2,1,62,4,2,6,10,3,1,2013,1, ,3000,1, , , , , , , , , , , 
3,2,58,1,2,6,11,2,1,2013,1, ,2500,3, , , , , , , , , , , 
5,1,62,8,2,6,5,4,1,2023,1, ,2000,3, ,9, ,7.6, ,13.4, ,8,1,5,2
98,1,33,11,1,1,9,9,1,2023,1, ,2000,1, ,15.6, ,10.5, ,20.9, ,8,1, , 
2,1,47,5,2,6,10,5,1,2020,5, , , , , , , , , , , , , , 
1,1,74,6, , , , ,1,2020,2, ,2000, , , , , , , , , , , , 
3,1,55,2,2,5,12,11,1,2023,5, , , , , , , , , , , ,3,1, 
4,2,50,8,2,5,12,7,1,2023,5, , , , , , , , , , , ,1,5,1
98,1,50,1,2,6,6,6,1,2023,5, , , , , , , , , , , ,3,5,1
98,1,51,8,97,1,5,5,1,2023,5, , , , , , , , , , , ,1,3, 
98,1,43,1,2,5,10,5,1,2024,5, , , , , , , , , , , ,3,1, 
98,2,37,4,2,3,5,98,1,2023,1, ,2000,3, ,8.9, ,8.2, ,12.3, ,6,4, ,1
3,1,39,5,2,4,10,5,1,2015,3, ,2000, , , , , , , , , , , , 
4,1,40,8,2,5,9,4,1,2024,5, , , , , , , , , , , ,3,4, 
98,1,33,11,2,4,10,5,1,2024,5, , , , , , , , , , , ,4,3, 
98,2,53,8,1,7,2,2,1,2023,1, ,2000,3, , ,98,1.7, ,3, ,3,4,5,1
4,2,45,1,1,1,6,6,1,2013,1, ,1000, ,5, , , , , , , , , , 
98,1,56,11,2,5,11,8,1,2023,5, , , , , , , , , , , ,1, , 
2,1,37,6,2,4,9,6,1,2024,1, ,2000,3, ,10.9, ,8.6, ,14.1, ,5,1, , 
5,1,43,8,2,5,8,4,1,2023,1, ,2000,1, ,9.9, ,8.7, ,10.8, ,9,4, , 
2,1,44,8,97,5,13,13,1,2024,1, ,2900,3, ,13.2, ,12.1, ,12.3, ,7,4, , 
2,1,41,4,2,4,10,6,1,2023,1, ,2000,1, , , , , , , , ,1,5,1
98,1,50,8,2,5,11,9,1,2022,1, ,2000,1, ,14.3, ,12, ,19, ,8,4, , 
98,1,48,8,2,5,11,11,1,2024,5, , , , , , , , , , , ,3,1, 
98,2,42,2,2,4,7,3,1,2023,5, , , , , , , , , , , ,3, ,2
4,1,43,14,1,5,4,4,1,2024,5, , , , , , , , , , , ,1,3, 
98,2,51,8,2,6,10,5,1,2024,5, , , , , , , , , , , ,4, , 
5,1,58,8,2,6,1,1,1,2024,1, ,2000,3, ,11.4, ,11, ,15.7, ,7,1, , 
2,1,44,8,2,5,12,8,1,2024,5, , , , , , , , , , , ,4,1, 
98,2,34,1,1,1,6,6,1,2023,1, ,2000,1, ,14.3, ,9.3, ,17, ,6,4, ,1
98,2,57,1,97,6,11,7,1,2024,1, ,2000,3, , ,98,12.4, ,14.2, ,6,3,1,2
98,1,42,8,2,4,9,4,1,2023,5, , , , , , , , , , , ,3,1,1
2,1,62,1,2,6,5,2,1,2022,1, ,2500,1, ,10.2, ,8.4, ,11, ,5,1,3,1
98,2,30,8,1,1,10,10,1,2024,1, ,2000,1, ,12, ,10.6, ,13.9, ,8,1, ,2
5,1,46,8,1,1,5,5,1,2013,3, ,2000,1, , , , , , , , , , , 
98,1,58,1,2,6,7,4,1,2024,1, ,2000,1, ,13.5, ,10.4, ,18.4, ,7,1,3,2
1,1,35,1,1,1,9,9,1,2024,1, ,5001,3, ,7.9, ,5, ,8, ,10,1,2,1
2,1,37,5, , , , ,1,2020,2, ,1800, , , , , , , , , , , , 
4,2,23,6,1,6,8,1,1,2022,1, ,2200,1, , ,98,3.1, ,11.6, ,4,4, , 
3,1,48,5,2,2,10,10,1,2023,1, ,3000,3, , ,98,8.5, ,12.1, ,10,1,4, 
98,1,54,3,2,5,7,7,1,2023,1, ,1300,1, ,11.6, ,8.6, ,16, ,8,4, ,1
2,1,69,1,2,7,7,4,1,2014,1, ,3600,2, , , , , , , , , , , 
5,2,45,4,2,5,99,99,1,2024,5, , , , , , , , , , , ,3,5,2
5,1,67,5,2,7,4,1,1,2015,1, ,2400,1, , , , , , , , , , , 
3,1,49,14,2,5,10,4,1,2015,1, ,2000,1, , , , , , , , , , , 
1,1,44,8,2,5,10,8,1,2023,1, ,3000,3, ,9.4, ,10, ,13, ,8,1,5, 
98,1,31,9,2,2,7,4,1,2024,1, ,2000,3, , ,98,11.9, ,11.9, ,8,5, ,1
98,1,37,4,2,2,10,4,1,2024,5, , , , , , , , , , , ,1,3,1
2,1,69,1,1,1,2,2,1,2019,1, ,1000, ,2, , , , , , , , , , 
4,1,41,6,1,1,4,4,1,2013,1, ,2500, , , , , , , , , , , , 
98,2,57,6,2,6,7,1,1,2013,1, ,2000, , , , , , , , , , , , 
98,2,50,14,2,3,3,1,1,2013,3, ,2000,2,7, , , , , , , , , , 
98,2,42,8, , , , ,1,2020,1, ,2200,1,6, , , , , , , , , , 
2,2,41,1,1,6,5,4,1,2018,4,2,2000, , , , , , , , , , , , 
98,1,42,4,2,4,4,4,1,2024,1, ,2000,1, ,10.1, ,10.4, ,15.2, ,6,1, ,1
98,2,34,8,1,1,99,99,1,2024,4,1,3000,1, ,18.5, ,20, ,20.1, ,9,1,3,2
