SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q01190000,Q01190000_A,Q01190001,Q01190001_A,Q01190002,Q01190002_A,Q01190005,Q01230101,Q01230102,Q0124
3,1,54,1,2,6,8,8,1,2021,1, ,1000, ,5,16, ,13.7, ,19, ,7,1,3,2
4,1,52,8,2,6,10,10,1,2019,1, ,3000,1, , , , , , , , , , , 
98,1,50,8,2,6,7,3,1,2023,4,1,1600,1, ,19.3, ,22.4, ,22.5, ,10,3, , 
1,1,44,4,2,5,5,4,1,2016,1, ,2000, , , , , , , , , , , , 
4,1,27,15,1,1,7,7,1,2022,1, ,3500,3, , , , , , , , ,1, , 
3,1,65,15,2,7,11,10,1,2022,3, ,2500,3, ,13.6, ,10.5, ,15, ,8,1,3, 
3,1,50,1,2,5,9,6,1,2016,3, ,2000,1,5, , , , , , , , , , 
3,1,45,4,1,1,2,2,1,2015,3, ,2000,1, , , , , , , , , , , 
98,1,26,8,1,6,7,1,1,2013,3, ,2000,1, , , , , , , , , , , 
1,1,67,2,2,6,8,4,1,2021,3, ,2200,1,5,13.2, ,12.6, ,13, ,8,1,3, 
98,2,41,1,1,1,6,6,1,2016,3, ,2000,3, , , , , , , , , , , 
98,2,56,5,2,6,11,5,1,2022,1, ,3200,3, , , , , , , , ,1, , 
4,1,52,1,2,3,2,98,1,2014,1, ,2000, , , , , , , , , , , , 
98,1,65,4,2,6,5,4,1,2014,3, ,2000,1,5, , , , , , , , , , 
98,1,44,1,1,1,7,7,1,2020,1, ,2500,3, , , , , , , , , , , 
98,1,47,6,2,5,6,5,1,2018,3, ,2200,2,5, , , , , , , , , , 
5,1,62,8,2,6,11,10,1,2016,3, ,2200,1,7, , , , , , , , , , 
98,1,52,1,2,6,10,10,1,2024,4,1,1600,1,5,15.5, ,17.9, ,20.1, ,8,5, , 
98,1,43,12,2,5,4,4,1,2017,1, ,1500, , , , , , , , , , , , 
98,1,59,5,2,6,10,3,1,2020,2, ,1700,1,5, , , , , , , , , , 
2,1,36,1,2,4,6,5,1,2015,1, ,2400, , , , , , , , , , , , 
4,1,68,15,2,7,2,2,1,2013,1, ,1600, , , , , , , , , , , , 
2,1,44,7,2,5,6,6,1,2022,4,1,1600,1,7,13.8, ,18.1, ,16.1, ,8,3, , 
4,1,46,8,2,5,9,5,1,2022,4,1,1600, , ,21.1, ,20.4, ,24.5, ,10,5,1,2
3,1,44,1,1,1,6,6,1,2023,4,1,1600,1, , ,98,14.7, ,5.4, ,6,4, ,1
5,1,55,8,2,6,7,7,1,2020,4,1,2000, , , , , , , , , , , , 
1,1,46,2,2,2,6,4,1,2024,1, ,1500,1, ,9.1, ,8.7, ,12, ,6,1,4,1
2,2,55,7,2,6,11,1,1,2024,1, ,1600,1, , ,98,12, ,14.2, ,8,1,3,1
5,2,38,1,2,4,3,98,1,2022,4,1,1600,1, ,16.8, ,8.8, ,14.2, ,7,1,3, 
98,1,66,5,2,7,2,2,1,2015,3, ,2000,1, , , , , , , , , , , 
2,1,59,3,2,6,5,3,1,2016,1, ,3800,3, , , , , , , , , , , 
5,1,55,8,2,5,7,5,1,2013,1, ,1600, , , , , , , , , , , , 
1,1,61,1,2,6,7,7,1,2013,1, ,3300,1, , , , , , , , , , , 
3,1,72,9,2,6,3,3,1,2013,1, ,3300,1, , , , , , , , , , , 
5,1,48,15,2,4,11,7,1,2023,3, ,2000,3, ,15.1, ,10, ,15.2, ,1,3,2,1
1,1,65,3,2,6,7,5,1,2022,1, ,2500,3,5,9.5, ,5.5, ,5.6, ,9,1, , 
