SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q03,Q0301,Q0302,Q030301,Q030302,Q0307,Q030801,MQ030902,Q030902
1,1,74,11,2,6,4,4,1,2024,1, ,1600, , ,2,6,1,13,1,2,3,3200, 
1,1,55,1,2,6,6,3,1,2024,1, ,2500,3, ,3,6,4,26,1,8,5,6210, 
1,2,31,2,2,4,12,12,1,2021,1, ,2200,3, ,2,5,27,6,1,10,14, ,99
2,1,49,1,2,3,7,4,1,2023,1, ,2000,1, ,1,99,7,6,1,99,3,4850, 
5,2,37,8,2,4,11,3,1,2024,4,1,1600,3, ,2,4,22,7,1,8,99,4200, 
98,2,50,10,2,6,10,1,1,2024,1, ,3000,3,5,2,4,19,7,1,2,4,9000, 
98,1,63,2,2,7,5,5,1,2023,1, ,1600,1, ,2,6,97,16,1,9,3,2273, 
4,1,47,8,2,5,6,6,1,2022,1, ,3500,1, ,2,9,8,9,1,8,7,5790, 
98,1,42,5,2,5,5,5,1,2023,5, , , , ,2,11,3,18,2,1,6,5299, 
98,1,39,8,2,4,8,3,1,2023,1, ,2000,3, ,3,9,8,7,1,99,8,7150, 
98,1,40,8,2,5,6,6,1,2023,4,2,2000,1, ,2,6,3,25,1,1,14,7000, 
98,1,39,8,2,4,4,3,1,2024,4,1,1600,1,6,1,7,8,20,3,2,7,5000, 
2,1,40,8,2,4,6,5,1,2022,5, , , , ,2,12,5,13,2,99,5,5490, 
5,1,51,3,2,6,12,11,1,2022,3, ,3000,3, ,2,3,6,13,1,1,8, , 
98,1,42,8,2,2,2,2,1,2023,4,1,1600,1, ,2,7,1,20,1,8,3,3800, 
98,1,41,8,2,5,5,4,1,2021,1, ,2500,3, ,1,99,19,13,1,99,7,6000, 
98,1,52,1,2,5,10,5,1,2024,4,1,2500,1, ,1,2,20,22,1,9,8,4460, 
5,1,55,3,2,6,10,8,1,2021,1, ,2000,3, ,2,12,8,8,1,99,99,7100, 
5,1,64,1,2,6,8,4,1,2022,1, ,2300,3, ,2,4,10,9,1, , , , 
98,1,48,1,2,3,10,5,1,2024,5, , , , ,2,8,20,29,2, , ,5710, 
98,2,50,10,2,5,6,1,1,2024,1, ,1000,1, ,3,9,6,13,2,2,2,1600, 
4,1,51,8,2,3,10,4,1,2022,5, , , , ,2,3,20,8,2, , ,7343, 
4,1,59,14,2,6,8,8,1,2023,4,1,1600,1, ,2,10,3,29,1,8,7,5500, 
98,1,36,1,1,1,5,5,1,2023,1, ,2000,3, ,4, , , , , , , , 
